name,gender_code,birth_date,lastime,desativado,seg,ter,qua,qui,sex,sab,dom,criticality,age
Maryanne Denham,H,1985-06-14,2023-03-08,false,2,2,1,3,1,2,3,,12
Janith Jagger,M,1967-02-27,2023-04-11,false,1,3,2,2,2,1,1,,35
Averil Swindall,H,1978-12-13,2023-04-28,false,3,3,3,1,2,2,1,,23
Becca Rosenstock,M,1982-05-18,2023-05-02,false,3,3,3,1,1,2,3,,18
Morgen Sandels,M,1976-11-08,2023-04-09,false,1,1,1,1,3,3,3,,18
Fred Werrilow,H,1969-01-26,2023-04-23,false,3,3,2,2,3,1,2,,68
Rafi Arrington,M,1967-04-22,2023-03-24,false,1,2,1,3,3,3,3,,38
Malvina Crampin,H,2000-11-18,2023-04-02,false,2,3,1,1,3,3,2,,66
Lauralee Fripps,M,1980-10-11,2023-03-09,false,2,3,2,1,1,2,3,,52
Daloris De Matteis,M,1983-09-26,2023-03-09,false,3,1,2,1,2,3,1,,51
Siouxie Jeannard,H,1979-10-14,2023-03-23,false,1,3,2,2,3,2,1,,21
Jeanine Woolcocks,M,1996-03-30,2023-03-28,false,3,3,1,3,1,3,2,,40
Juliane Dovidaitis,M,1982-07-20,2023-05-04,false,1,2,2,3,1,3,2,,45
Lulu Sherwyn,M,1989-09-03,2023-04-06,false,1,1,2,1,3,3,2,,49
Candra Avery,H,2008-01-03,2023-03-18,false,1,1,2,3,3,1,1,,19
Carmencita Barltrop,H,1976-01-31,2023-04-06,false,3,3,1,1,2,1,3,,69
Matilda Leidecker,H,1962-05-14,2023-04-14,false,1,1,2,3,1,2,1,,13
Quint McKinnon,H,1993-09-18,2023-04-25,false,3,1,2,3,3,2,2,,51
Bibbye Laetham,M,2001-11-30,2023-04-18,false,2,1,3,1,2,1,2,,30
Michaella Garlic,M,1993-06-10,2023-03-26,false,1,1,1,2,1,3,1,,28
Gibbie Emps,H,2007-03-23,2023-03-22,false,1,2,1,2,2,1,3,,21
Pattin Lifsey,H,2003-01-09,2023-03-04,false,1,1,2,1,1,1,3,,61
Wileen Gayforth,M,2000-10-17,2023-03-13,false,1,3,2,3,1,1,1,,53
Euphemia Rangall,H,1972-02-08,2023-04-04,false,2,1,3,2,1,2,3,,24
Tonnie Tomik,M,1961-05-17,2023-03-25,false,2,3,2,2,2,3,3,,46
Wendye Vurley,H,2000-02-28,2023-03-06,false,1,1,1,1,1,2,3,,39
Lynnett Goldsworthy,M,1982-09-13,2023-04-25,false,2,2,1,2,2,3,2,,66
Kathy Kenna,M,1963-07-08,2023-03-24,false,2,1,1,3,2,3,1,,62
Mariska Kimmins,M,1971-02-12,2023-05-07,false,3,3,2,2,2,3,1,,39
Bibbie Eastmond,H,1964-04-21,2023-03-30,false,1,2,1,2,2,2,1,,60
Quintin MacGorrie,M,2006-03-07,2023-04-06,false,2,3,1,3,3,1,2,,46
Wat Houndsom,H,2000-08-03,2023-05-05,false,1,2,1,3,1,1,3,,18
Nancee Garrad,M,1984-05-13,2023-03-11,false,1,1,1,1,2,3,2,,48
Mozelle Godsafe,H,1972-08-20,2023-05-01,false,3,1,3,3,3,3,3,,68
Eldridge Pinchen,M,1976-11-22,2023-03-10,false,3,1,3,2,1,3,3,,55
Reese Moorcraft,H,2008-07-03,2023-04-12,false,2,2,3,3,2,2,2,,18
Garrik Skym,M,1995-06-11,2023-04-27,false,1,3,2,3,1,2,1,,52
Valerie Grahame,M,1989-04-19,2023-05-02,false,1,1,2,3,2,2,1,,16
Krispin Massel,M,1983-07-31,2023-03-26,false,1,1,2,2,3,2,3,,56
Gard Fomichyov,H,2002-05-12,2023-04-24,false,1,2,1,2,3,1,2,,25
Edgard Belmont,H,1972-09-30,2023-05-07,false,1,2,2,1,2,2,1,,26
Annadiana Towhey,H,1982-12-09,2023-04-27,false,1,1,1,3,2,3,1,,14
Joshia Biskupiak,H,2001-03-16,2023-03-02,false,2,1,1,2,1,1,1,,46
Charlena MacKowle,M,1964-06-04,2023-03-16,false,1,2,1,1,3,3,3,,18
Karlee Kadwallider,H,1971-10-17,2023-04-28,false,2,1,1,3,3,3,1,,65
Levin Breagan,H,1982-05-22,2023-05-08,false,3,3,3,2,1,2,2,,16
Garvin Towne,M,1973-12-09,2023-04-12,false,1,2,2,3,2,1,1,,51
Cele Gavagan,M,2007-06-01,2023-03-07,false,3,1,1,2,3,2,1,,42
Carolee Pickering,M,1985-12-01,2023-03-20,false,2,1,1,1,3,2,1,,48
Thaine Dufoure,H,1979-01-02,2023-04-22,false,1,3,2,3,3,1,2,,56
Brigit Josse,H,1979-05-02,2023-04-18,false,2,3,2,1,3,3,1,,20
Locke Paradis,M,1973-11-22,2023-03-09,false,1,1,2,2,2,1,1,,53
Arleta Ellesmere,H,1969-02-19,2023-03-29,false,1,3,2,1,1,2,2,,45
Pammy Dight,H,1960-10-13,2023-04-02,false,2,1,2,1,2,1,3,,13
Cordy Amps,H,1995-07-10,2023-03-31,false,2,2,3,2,1,3,1,,13
Leann Bolland,M,1986-11-08,2023-04-07,false,2,3,2,2,3,3,1,,26
Iggie Ruf,M,2003-12-28,2023-03-08,false,1,3,2,3,1,2,1,,55
Grenville Dake,M,1998-10-06,2023-03-14,false,2,2,2,2,1,2,3,,68
Mack Silversmid,H,2006-09-24,2023-05-05,false,1,3,3,3,3,3,3,,67
Robert Julien,M,1961-06-12,2023-05-04,false,1,2,1,2,1,3,3,,65
Lottie Pieters,M,1998-03-28,2023-04-15,false,1,2,3,3,3,3,3,,67
Keir Weeke,H,1997-02-05,2023-03-03,false,1,3,2,2,3,2,3,,70
Patty Rootes,H,1965-04-09,2023-03-08,false,2,1,2,2,2,1,2,,32
Pearce Vobes,M,1968-04-30,2023-03-28,false,2,2,2,1,3,3,1,,67
Gilbert Bazek,H,1976-06-01,2023-04-04,false,1,2,3,2,2,3,3,,43
Burk Hirtz,H,2009-03-20,2023-04-21,false,3,2,3,3,1,2,1,,66
Norean Daniely,H,1968-10-13,2023-04-22,false,2,1,1,1,1,3,1,,48
Devi Ledingham,H,1967-11-25,2023-03-04,false,1,1,3,3,3,2,2,,33
Dniren Ferrai,M,1967-03-06,2023-04-03,false,3,3,1,1,3,3,3,,38
Anna Burgett,M,1991-10-31,2023-05-07,false,1,3,1,2,2,2,1,,66
Farr Pinnigar,H,1994-05-07,2023-04-09,false,2,3,3,2,3,3,2,,46
Roxy Ikringill,M,1990-09-07,2023-04-30,false,2,3,1,1,1,1,3,,69
Anica De Michetti,H,1979-02-24,2023-04-04,false,2,2,2,1,3,3,1,,33
Rodrick Schuchmacher,M,1984-12-30,2023-03-12,false,2,2,2,2,3,2,2,,33
Augustine Lomax,H,2003-11-17,2023-03-19,false,1,3,3,2,3,2,1,,59
Bentley Cullingworth,H,1996-10-23,2023-03-19,false,2,3,1,1,1,2,1,,26
Pepito Roskams,M,2006-05-17,2023-03-28,false,3,2,2,1,3,3,2,,21
Kermy Duddle,H,2008-02-28,2023-03-04,false,3,1,3,1,3,3,2,,65
Nessi Wyman,M,1966-05-09,2023-03-05,false,3,3,2,3,3,2,3,,18
Thorpe Farnfield,H,1966-10-26,2023-03-25,false,3,2,1,1,2,3,2,,54
Mirna Croster,M,2007-07-04,2023-04-03,false,3,3,2,1,1,1,1,,49
Benedicto Soal,M,2007-05-15,2023-03-12,false,3,2,1,3,2,2,1,,24
Marsh Shannon,H,1965-09-13,2023-04-27,false,2,1,1,3,3,2,3,,41
Merrielle Petrina,H,1974-08-08,2023-04-16,false,1,3,2,2,2,2,3,,13
Alicea Balloch,H,1977-03-04,2023-03-17,false,2,1,1,3,1,1,2,,62
Ardella Brassill,H,1981-12-15,2023-04-14,false,2,2,2,2,2,3,1,,54
Kinnie Petkov,H,1993-06-16,2023-04-10,false,2,1,2,1,3,3,2,,27
Fabien Goney,H,2005-05-11,2023-03-29,false,3,2,2,1,3,3,1,,63
Jim Duckhouse,H,1972-10-18,2023-04-24,false,2,2,1,1,1,3,3,,70
Keelby Lehr,H,1979-09-03,2023-04-13,false,1,3,3,3,1,3,3,,42
Jaquenette Dumigan,M,1973-01-07,2023-04-01,false,1,1,3,1,1,1,3,,50
Julianne Chopping,H,2001-01-07,2023-04-02,false,3,2,3,2,2,2,1,,13
Deeanne Ketton,H,1967-03-16,2023-04-06,false,1,3,3,3,2,1,1,,24
Claudina Posselt,M,1972-03-30,2023-04-01,false,2,2,1,1,1,1,2,,30
Stanly Beahan,M,1960-05-24,2023-04-22,false,1,3,3,1,2,3,3,,48
Shannen Polding,H,1978-03-17,2023-03-14,false,3,2,1,3,3,2,1,,67
Davidson Duggary,H,1964-08-29,2023-05-07,false,2,2,1,1,1,1,3,,24
Inez Badgers,M,1984-01-30,2023-04-23,false,1,3,1,3,3,3,1,,59
Goldarina Jeff,M,1986-08-24,2023-04-03,false,2,1,3,1,3,1,2,,50
